Chromosome	Start	End	MedianRatio	CopyNumber	Sample	BinCount
1	1	8985	-1	2	IMR5-R150	8
1	8985	563747	0.756309	2	IMR5-R150	494
1	563747	570485	9.68926	19	IMR5-R150	6
1	570485	711983	0.920403	2	IMR5-R150	126
1	711983	1317280	1.4097	3	IMR5-R150	539
1	1317280	16158848	1.00713	2	IMR5-R150	13216
1	16158848	16194784	1.51189	3	IMR5-R150	32
1	16194784	51982548	1.00901	2	IMR5-R150	31868
1	51982548	59636916	1.04424	2	IMR5-R150	6816
1	59636916	96947468	0.988269	2	IMR5-R150	33224
1	96947468	107651904	0.954855	2	IMR5-R150	9532
1	107651904	144339191	1.00208	2	IMR5-R150	32669
1	144339191	144402079	1.36087	3	IMR5-R150	56
1	144402079	144451491	-1	2	IMR5-R150	44
1	144451491	147933914	1.00812	2	IMR5-R150	3101
1	147933914	147940652	3.42713	7	IMR5-R150	6
1	147940652	147994556	1.2471	2	IMR5-R150	48
1	147994556	149515098	0.981186	2	IMR5-R150	1354
1	149515098	149575740	1.47139	3	IMR5-R150	54
1	149575740	161647990	1.01357	2	IMR5-R150	10750
1	161647990	187215331	0.986282	2	IMR5-R150	22767
1	187215331	200838444	0.934894	2	IMR5-R150	12131
1	200838444	206921735	1.02697	2	IMR5-R150	5417
1	206921735	224248502	0.996094	2	IMR5-R150	15429
1	224248502	241973934	0.665993	1	IMR5-R150	15784
1	241973934	242070512	0.323123	1	IMR5-R150	86
1	242070512	248053856	0.669088	1	IMR5-R150	5328
1	248053856	248056102	2.55861	5	IMR5-R150	2
1	248056102	249240867	0.611988	1	IMR5-R150	1055
1	249240867	249250974	-1	1	IMR5-R150	9
10	1	59520	-1	2	IMR5-R150	53
10	59520	2794025	0.944921	2	IMR5-R150	2435
10	2794025	15615316	1.00349	2	IMR5-R150	11417
10	15615316	28326553	0.974468	2	IMR5-R150	11319
10	28326553	30577045	1.03999	2	IMR5-R150	2004
10	30577045	39154519	0.99169	2	IMR5-R150	7638
10	39154519	42392128	-1	2	IMR5-R150	2883
10	42392128	42393251	5.30795	11	IMR5-R150	1
10	42393251	42545979	0.951367	2	IMR5-R150	136
10	42545979	42601006	-1	2	IMR5-R150	49
10	42601006	45503961	1.05554	2	IMR5-R150	2585
10	45503961	51976933	0.985308	2	IMR5-R150	5764
10	51976933	51978056	3.15826	6	IMR5-R150	1
10	51978056	69119528	0.965577	2	IMR5-R150	15264
10	69119528	81488250	1.00511	2	IMR5-R150	11014
10	81488250	81494988	-1	2	IMR5-R150	6
